1, Connor McDavid, F, EDM
2, Nathan MacKinnon, F, COL
3, Leon Draisaitl, F, EDM
4, Nikita Kucherov, F, TBL
5, Auston Matthews, F, TOR
6, David Pastrnak, F, BOS
7, Artemi Panarin, F, NYR
8, Mikko Rantanen, F, COL
9, Brady Tkachuk, F, OTT
10, Sidney Crosby, F, PIT
11, Cale Makar, D, COL
12, J.T. Miller, F, VAN
13, Kirill Kaprizov, F, MIN
14, William Nylander, F, TOR
15, Matthew Tkachuk, F, FLA
16, Quinn Hughes, D, VAN
17, Jack Hughes, F, NJD
18, Evan Bouchard, D, EDM
19, Igor Shesterkin, G, NYR
20, Zach Hyman, F, EDM
21, Sam Reinhart, F, FLA
22, Roman Josi, D, NSH
23, Jeremy Swayman, G, BOS
24, Filip Forsberg, F, NSH
25, Chris Kreider, F, NYR
26, Elias Pettersson, F, VAN
27, Alex Ovechkin, F, WSH
28, Kyle Connor, F, WPG
29, Jack Eichel, F, VGK
30, Brayden Point, F, TBL
31, Jake Guentzel, F, TBL
32, Victor Hedman, D, TBL
33, Juuse Saros, G, NSH
34, Jake Oettinger, G, DAL
35, Connor Hellebuyck, G, WPG
36, Mitch Marner, F, TOR
37, Sergei Bobrovsky, G, FLA
38, Adam Fox, D, NYR
39, Vincent Trocheck, F, NYR
40, Sebastian Aho, F, CAR
41, Jason Robertson, F, DAL
42, Andrei Vasilevskiy, G, TBL
43, Rasmus Dahlin, D, BUF
44, Aleksander Barkov, F, FLA
45, Brad Marchand, F, BOS
46, Connor Bedard, F, CHI
47, Thatcher Demko, G, VAN
48, Alexandar Georgiev, G, COL
49, Stuart Skinner, G, EDM
50, Adrian Kempe, F, LAK
51, Carter Verhaeghe, F, FLA
52, Joel Eriksson Ek, F, MIN
53, Steven Stamkos, F, NSH
54, Mikhail Sergachev, D, UTA
55, Wyatt Johnston, F, DAL
56, Brock Boeser, F, VAN
57, Noah Dobson, D, NYI
58, Mathew Barzal, F, NYI
59, Travis Konecny, F, PHI
60, Jesper Bratt, F, NJD
61, Dylan Larkin, F, DET
62, John Tavares, F, TOR
63, Tim Stützle, F, OTT
64, Jonathan Marchessault, F, NSH
65, Mika Zibanejad, F, NYR
66, Josh Morrissey, D, WPG
67, Dougie Hamilton, D, NJD
68, Ilya Sorokin, G, NYI
69, Tage Thompson, F, BUF
70, Owen Tippett, F, PHI
71, Kevin Fiala, F, LAK
72, Ryan Nugent-Hopkins, F, EDM
73, Cole Caufield, F, MTL
74, Bo Horvat, F, NYI
75, Roope Hintz, F, DAL
76, Charlie McAvoy, D, BOS
77, Tomas Hertl, F, VGK
78, Frederik Andersen, G, CAR
79, Gustav Forsling, D, FLA
80, Blake Coleman, F, CGY
81, Mark Scheifele, F, WPG
82, Patrick Kane, F, DET
83, Clayton Keller, F, UTA
84, Joseph Woll, G, TOR
85, Jacob Markstrom, G, NJD
86, Robert Thomas, F, STL
87, Brock Nelson, F, NYI
88, Nikolaj Ehlers, F, WPG
89, Anze Kopitar, F, LAK
90, Devon Toews, D, COL
91, Andrei Svechnikov, F, CAR
92, Trevor Moore, F, LAK
93, Alex DeBrincat, F, DET
94, Miro Heiskanen, D, DAL
95, Nick Suzuki, F, MTL
96, Brandon Hagel, F, TBL
97, Matt Duchene, F, DAL
98, Seth Jarvis, F, CAR
99, Nico Hischier, F, NJD
100, Juraj Slafkovsky, F, MTL
101, Evgeni Malkin, F, PIT
102, Morgan Rielly, D, TOR
103, Matt Boldy, F, MIN
104, Timo Meier, F, NJD
105, Mats Zuccarello, F, MIN
106, MacKenzie Weegar, D, CGY
107, Claude Giroux, F, OTT
108, Alex Tuch, F, BUF
109, Mark Stone, F, VGK
110, Ryan O'Reilly, F, NSH
111, Logan Stankoven, F, DAL (rookie)
112, Macklin Celebrini, F, SJS (rookie)
113, Matvei Michkov, F, PHI (rookie)
114, Jordan Binnington, G, STL
115, Alexis Lafrenière, F, NYR
116, Will Smith, F, SJS (rookie)
117, Mattias Ekholm, D, EDM
118, Logan Cooley, F, UTA
119, Brandon Montour, D, SEA
120, Vince Dunn, D, SEA
121, Artturi Lehkonen, F, COL
122, Erik Karlsson, D, PIT
123, Elias Lindholm, F, BOS
124, William Karlsson, F, VGK
125, Jeff Skinner, F, EDM
126, Moritz Seider, D, DET
127, Brock Faber, D, MIN
128, Evander Kane, F, EDM
129, Gustav Nyquist, F, NSH
130, Mason Marchment, F, DAL
131, Pavel Buchnevich, F, STL
132, Adin Hill, G, VGK
133, Frank Vatrano, F, ANA
134, Ukko-Pekka Luukkonen, G, BUF
135, Linus Ullmark, G, OTT
136, Pyotr Kochetkov, G, CAR
137, Shea Theodore, D, VGK
138, Dylan Strome, F, WSH
139, Nazem Kadri, F, CGY
140, Jamie Benn, F, DAL
141, Vladimir Tarasenko, F, DET
142, Jake DeBrusk, F, VAN
143, Luke Hughes, D, NJD
144, Jordan Kyrou, F, STL
145, Drake Batherson, F, OTT
146, Gabriel Vilardi, F, WPG
147, Filip Hronek, D, VAN
148, Zach Werenski, D, CBJ
149, Brent Burns, D, CAR
150, Nick Schmaltz, F, UTA
151, Lucas Raymond, F, DET
152, Viktor Arvidsson, F, EDM
153, Casey Mittelstadt, F, COL
154, Quinton Byfield, F, LAK
155, Darcy Kuemper, G, LAK
156, Connor Ingram, G, UTA
157, Jonathan Drouin, F, COL
158, Lawson Crouse, F, UTA
159, Drew Doughty, D, LAK
160, Jared McCann, F, SEA
161, Martin Necas, F, CAR
162, John Carlson, D, WSH
163, Tyler Toffoli, F, SJS
164, Teuvo Teravainen, F, CHI
165, Alex Pietrangelo, D, VGK
166, Tom Wilson, F, WSH
167, Sam Bennett, F, FLA
168, Kris Letang, D, PIT
169, Mason McTavish, F, ANA
170, Ilya Samsonov, G, VGK
171, Joey Daccord, G, SEA
